event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,admin1c,admin2c,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
COL18060,25-Oct-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Norte de Santander,Abrego,,NORTE DE SANTANDER,ABREGO,Abrego,8.0818,-73.2217,2,La Opinion (Colombia),Subnational,"On 25 October 2022, near Abrego municipality (Norte de Santander), truck drivers blocked the Cucuta - Ocana highway to protest against the bad state of the road and demand the investment of resources to repair it.",0,crowd size=no report,1667241725
COL2730,1-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Government of Colombia (2018-2022),6,,,0,60,,170,South America,Colombia,Norte de Santander,Abrego,,NORTE DE SANTANDER,ABREGO,Guamal,8.2132,-73.1171,2,El Universal (Colombia),National,"On 1 September 2020, in the bridge Boton de Leiva, Magdalena department, a group of Mayors and residents protested to demand from the regional government more resources and better highways. Protesters informed that it is about 20 kilometers in bad condition, from San Fernando to El Banco municipality.",0,crowd size=no report,1660599327
COL2003,20-Feb-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Norte de Santander,Abrego,,NORTE DE SANTANDER,ABREGO,Abrego,8.0818,-73.2217,1,La Opinion (Colombia),Subnational,"On 20 February 2020, in Abrego, Norte de Santander, residents peacefully protested to demand peace in the region. Residents demanded actions to avoid the increase of social and armed conflicts in the department of Norte de Santander.",0,crowd size=no report,1649356001
COL3693,28-Nov-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Norte de Santander,Abrego,,NORTE DE SANTANDER,ABREGO,Abrego,8.0818,-73.2217,2,Caracol Radio,National,"On 28 November 2018, truck drivers staged a protest on the road between Ocana and Sardinata, in sector Los Pinitos, Abrego (Abrego, Norte De Santander), against the increase on the price of fuel and other matters.",0,,1618527976
COL3592,27-Nov-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Norte de Santander,Abrego,,NORTE DE SANTANDER,ABREGO,Abrego,8.0818,-73.2217,1,Caracol Radio,National,"On 27 November 2018, truck drivers staged a protest at Km. 45 on the road Ocana-Sardinata in Abrego (Abrego, Norte De Santander) against the increase on the price of fuel and other matters.",0,,1618527973
COL9763,22-Jan-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Meta,Acacias,,META,ACACIAS,Acacias,3.9901,-73.7659,2,El Tiempo (Colombia),National,"On 22 January 2022, in the rural area of Acacias municipality (Meta), businessmen and other citizens protested against the increase in toll prices in the department. Citizens parked their vehicles along the highway that connects the city of Villavicencio with the Ocoa toll for several hours, claiming that previous agreements with local authorities included holding last year's rates.",0,crowd size=no report,1643662936
COL3821,8-Nov-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Meta,Acacias,,META,ACACIAS,Acacias,3.9901,-73.7659,1,Extra Llano,National,"On 8 November 2018, workers from Ecopetrol staged a protest in Acacias (Acacias, Meta) against the company's practice or hiring people from other parts of the region, violating Decree 1668 regarding hiring local staff from the municipalities in which such projects are located.",0,,1607554966
COL433,1-Apr-19,2019,3,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Choco,Acandi,,CHOCO,ACANDI,Acandi,8.5114,-77.2801,1,El Colombiano,National,"In April 2019, it was reported protest of the citizens of Acandi in Choco, due to the increasing number of migrants that have to camp in public areas of the municipality. The people claims for the local authorities to implement shelters to attend the massive arrival of migrants from other countries that want to reach the USA through the Darien.",0,crowd size=no reported,1582839939
COL323,15-Mar-19,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Choco,Acandi,,CHOCO,ACANDI,Acandi,8.5114,-77.2801,1,El Espectador,National,"March 15, 2019. In Acandi, Choco, protesters are blocking the flow of migrants. The protesters ask for the national and local governments to take care of the migrants and the public services of the population, especially water. More than 120 Cubans are blocked and need to leave the country before their temporary permits expire, otherwise they can be deported to Cuba.",0,crowd size=no report,1582839943
COL17245,19-Aug-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Bolivar,Achi,,BOLIVAR,ACHI,Achi,8.5673,-74.5553,1,El Universal (Colombia),National,"On 19 August 2022, in Achi (Bolivar), for the second consecutive day, farmers held a protest in front of the Agrarian Bank to demand the transfer of subsidies to deal with the damages and floods caused by the winter. They claimed that the previous Ivan Duque administration blocked the transfer of these subsidies.",0,crowd size=no report,1663006807
