"FID_15t6","Pe_15t6","Du_15t6","vt_15t6","MV18_15t6","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16"
0,20584,40730,64629,0.31172,0.472840605520926,0,0.104970614425646,0.157455921638468,0,0,0,0
1,370,1519,1973,0.58236,0.7506678539626,0,0.166648263579697,0.249972395369546,0,0,0,0
2,968,2689,3833,0.449,0.602849510240427,0,0.133832591273375,0.200748886910062,0,0,0,0
3,1983,4516,6903,0.36694,0.524487978628673,0,0.116436331255565,0.174654496883348,0,0,0,0
4,1863,2552,4638,0.14856,0.357079252003562,0,0.0792715939447907,0.118907390917186,0,0,0,0
5,2223,1730,4107,-0.12004,0.184327693677649,0,0.0409207479964381,0.0613811219946572,0,0,0,0
6,669,1306,2036,0.31287,0.474621549421193,0,0.105365983971505,0.158048975957257,0,0,0,0
7,364,1293,1709,0.54359,0.70080142475512,0,0.155577916295637,0.233366874443455,0,0,0,0
8,1438,2666,4328,0.28373,0.449688334817453,0,0.0998308103294746,0.149746215494212,0,0,0,0
9,560,1467,2163,0.41933,0.574354407836153,0,0.127506678539626,0.191260017809439,0,0,0,0
10,3229,2730,6362,-0.07843,0.205699020480855,0,0.0456651825467498,0.0684977738201247,0,0,0,0
11,4433,7758,12894,0.25787,0.430988423864648,0,0.0956794300979519,0.143519145146928,0,0,0,0
12,1135,894,2136,-0.11283,0.190560997328584,0,0.0423045414069457,0.0634568121104185,0,0,0,0
13,431,1343,1930,0.47254,0.630454140694568,0,0.139960819234194,0.209941228851291,0,0,0,0
14,692,1835,2673,0.42761,0.587711487088157,0,0.130471950133571,0.195707925200356,0,0,0,0
15,2314,4775,7619,0.32301,0.484416740872663,0,0.107540516473731,0.161310774710597,0,0,0,0
16,81160,49298,138157,-0.23062,0.134461264470169,0,0.0298504007123776,0.0447756010685663,0,0,0,0
17,5070,865,6060,-0.69389,0.02493321460374,0,0.00553517364203028,0.00830276046304542,0,0,0,0
18,8658,756,9678,-0.81649,0.00534283170080142,0,0.00118610863757792,0.00177916295636687,0,0,0,0
19,5766,894,6837,-0.71259,0.0195903829029386,0,0.00434906500445236,0.00652359750667854,0,0,0,0
20,10598,3051,13997,-0.53919,0.0463045414069457,0,0.0102796081923419,0.0154194122885129,0,0,0,0
21,3608,3578,7788,-0.00385,0.241317898486198,0,0.0535725734639359,0.0803588601959038,0,0,0,0
