FID,MPIO_CDPMP,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,VERSION,AREA,LATITUD,LONGITUD,depto,provincia,indrural,CDF_0t1,el_c0,em_c0,cs_c0,cw_c0,el_c1,em_c1,cs_c1,cw_c1,el_d0,el_d1,em_d0,em_d1,cs_d0,cs_d1,cw_d0,cw_d1,VAM18_2t3,FID_2t3,PBID18_2t3,eCDF_2t3d,eCDF_2t3m,el_c2d,em_c2d,cs_c2d,cw_c2d,el_c3d,em_c3d,cs_c3d,cw_c3d,el_c2m,em_c2m,cs_c2m,cw_c2m,el_c3m,em_c3m,cs_c3m,cw_c3m,discapital,disbogota,eCDF_4t5,el_c4t5,em_c4t5,cs_c4t5,cw_c4t5,REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,mpio,MUNICIPIO,cdir6t9,el_t6t9,em_t6t9,cs_t6t9,cw_t6t9,m1_t6t9,m2_t6t9,Petro,Duque,nomark,null,blank,vtotal,MOV_top2,Duque_pct,Petro_pct,MOV_pct,eCDF_15t6,el_c15,em_c15,cs_c15,cw_c15,el_c16,em_c16,cs_c16,cw_c16,el_i,em_i,cs_i,cw_i
466,08001,08,001,BARRANQUILLA,2018,154202079,10.98152051,-74.82771544,Atlántico,Norte,0.000857982,0.500342285,0.4377995,0,0,0.500342285,0.062542786,0.500342285,0.444804292,0,NA,0.125,NA,1,NA,0.889,NA,0,25887.90634,466,43368.86617,0.64565425,0.997326203,0.564947469,0.071667622,0,0.64565425,0.080706781,0.430651385,0.64565425,0,0.872660428,0.110703209,0,0.997326203,0.124665775,0.665216578,0.997326203,0,0,735.685791,0.980392157,0.367647059,0,0,0.588235294,Región Caribe,8,Atlántico,8.001,Barranquilla,North,0.25,0.222,0.333,0.1,0.175,0.2775,242474,192265,259,2415,11534,448947,-50209,0.428257679,0.540094933,-0.111837255,0.191451469,0,0.042502226,0.063753339,0,0,0,0,0.019145147,0.264414443,0.192595537,0.229860479,0.275631116
485,08758,08,758,SOLEDAD,2018,59358357.45,10.9069066,-74.7784249,Atlántico,Norte,0.002243381,0.500894979,0.438283107,0,0,0.500894979,0.062611872,0.500894979,0.445295636,0,NA,0.125,NA,1,NA,0.889,NA,0,6035.64906,485,43368.86617,0.64565425,0.984848485,0.564947469,0.071667622,0,0.64565425,0.080706781,0.430651385,0.64565425,0,0.861742424,0.109318182,0,0.984848485,0.123106061,0.656893939,0.984848485,0,13.96710396,722.8929443,0.975935829,0.365975936,0,0,0.585561497,Región Caribe,8,Atlántico,8.758,Soledad,North,0.25,0.222,0.333,0.1,0.175,0.2775,74273,42620,54,790,2171,119908,-31653,0.35543917,0.619416553,-0.263977383,0.121104185,0,0.026885129,0.040327694,0,0,0,0,0.012110419,0.262714925,0.189499029,0.225433977,0.272926922
908,11001,11,001,"BOGOTÁ, D.C.",2018,1622852605,4.316107698,-74.1810727,"Bogotá, D.C.",Bogotá,0.003395046,0.501354425,0.438685122,0,0,0.501354425,0.062669303,0.501354425,0.445704084,0,NA,0.125,NA,1,NA,0.889,NA,0,227062.6907,908,253941.0245,1,1,0.875,0.111,0,1,0.125,0.667,1,0,0.875,0.111,0,1,0.125,0.667,1,0,0,0,0.000891266,0,0.889,1,0,Región Centro Oriente,11,Bogotá D.C.,11.001,Bogotá D.C.,East,0.125,0,0.111,0.3,0.2125,0.0555,1889050,1449092,1417,38322,200249,3578130,-439958,0.404985845,0.527943367,-0.122957523,0.180765806,0,0.040130009,0.060195013,0,0,0,0,0.018076581,0.203294303,0.276060554,0.327112387,0.227428876
1112,25754,25,754,SOACHA,2018,187445954.4,4.537599379,-74.22993,Cundinamarca,Soacha,0.007806974,0.5031145,0.440225188,0,0,0.5031145,0.062889313,0.5031145,0.447268791,0,NA,0.125,NA,1,NA,0.889,NA,0,5341.699211,1112,59084.77742,0.756446991,0.980392157,0.661891117,0.083965616,0,0.756446991,0.094555874,0.504550143,0.756446991,0,0.857843137,0.108823529,0,0.980392157,0.12254902,0.653921569,0.980392157,0,50.9226265,15.47401047,0.004456328,0.001671123,0,0,0.002673797,Región Centro Oriente,25,Cundinamarca,25.754,Soacha,East,0.125,0,0.111,0.3,0.2125,0.0555,83247,55868,111,3123,5882,148231,-27379,0.37689822,0.561603173,-0.184704954,0.154051647,0,0.034199466,0.051299199,0,0,0,0,0.015405165,0.201272223,0.162507383,0.198745018,0.225198202
1115,25473,25,473,MOSQUERA,2018,105938888.7,4.672714223,-74.23573194,Cundinamarca,Sabana occidente,0.016963469,0.50676712,0.44342123,0,0,0.50676712,0.06334589,0.50676712,0.45051597,0,NA,0.125,NA,1,NA,0.889,NA,0,2433.214702,1115,59084.77742,0.756446991,0.954545455,0.661891117,0.083965616,0,0.756446991,0.094555874,0.504550143,0.756446991,0,0.835227273,0.105954545,0,0.954545455,0.119318182,0.636681818,0.954545455,0,60.01121902,30.61532211,0.01426025,0.005347594,0,0,0.00855615,Región Centro Oriente,25,Cundinamarca,25.473,Mosquera,East,0.125,0,0.111,0.3,0.2125,0.0555,22851,21246,31,1027,2693,47848,-1605,0.444031098,0.47757482,-0.033543722,0.228851291,0,0.050804987,0.07620748,0,0,0,0,0.022885129,0.198957521,0.162526059,0.199033613,0.224094232
1061,68001,68,001,BUCARAMANGA,2018,152915686.1,7.155833544,-73.11156997,Santander,Soto,0.01785831,0.507124056,0.443733549,0,0,0.507124056,0.063390507,0.507124056,0.450833286,0,NA,0.125,NA,1,NA,0.889,NA,0,14030.85687,1061,63776.07829,0.839541547,0.994652406,0.734598854,0.093189112,0,0.839541547,0.104942693,0.559974212,0.839541547,0,0.870320856,0.110406417,0,0.994652406,0.124331551,0.663433155,0.994652406,0,0,327.4837036,0.590909091,0.221590909,0,0,0.354545455,Región Centro Oriente,68,Santander,68.001,Bucaramanga,East,0.125,0,0.111,0.3,0.2125,0.0555,107050,168911,181,3480,15672,295294,61861,0.57200959,0.362520065,0.209489526,0.389136242,0,0.086388246,0.129582369,0,0,0,0,0.038913624,0.231045921,0.170918984,0.210758508,0.274404443
525,13760,13,760,SOPLAVIENTO,2018,92604134.37,10.33209031,-75.11699226,Bolívar,Dique bolivarense,0.01830986,0.507304169,0.443891148,0,0,0.507304169,0.063413021,0.507304169,0.450993406,0,NA,0.125,NA,1,NA,0.889,NA,0,64.31712964,525,35410.28621,0.623686724,0.231729055,0.545725883,0.069229226,0,0.623686724,0.07796084,0.415999045,0.623686724,0,0.202762923,0.025721925,0,0.231729055,0.028966132,0.15456328,0.231729055,0,42.90858078,665.9672241,0.934937611,0.350601604,0,0,0.560962567,Región Caribe,13,Bolívar,13.76,Soplaviento,North,0.25,0.222,0.333,0.1,0.175,0.2775,2741,1121,4,6,54,3926,-1620,0.285532348,0.698166072,-0.412633724,0.065894924,0,0.014628673,0.02194301,0,0,0,0,0.006589492,0.167454354,0.115527256,0.129708184,0.17582316
282,05001,05,001,MEDELLÍN,2018,374830624.8,6.257590259,-75.61103107,Antioquia,Valle del aburra,0.018429181,0.507351763,0.443932793,0,0,0.507351763,0.06341897,0.507351763,0.451035717,0,NA,0.125,NA,1,NA,0.889,NA,0,55082.30118,282,141680.0803,0.99904489,0.999108734,0.874164279,0.110893983,0,0.99904489,0.124880611,0.666362942,0.99904489,0,0.874220143,0.11090107,0,0.999108734,0.124888592,0.666405526,0.999108734,0,0,264.3390198,0.463458111,0.173796791,0,0,0.278074866,Región Eje Cafetero - Antioquia,5,Antioquia,5.001,Medellín,North,0.25,0.222,0.333,0.1,0.175,0.2775,207642,698505,1052,12808,59245,979252,490863,0.713304645,0.212041436,0.501263209,0.663401603,0,0.147275156,0.220912734,0,0,0,0,0.06634016,0.241282161,0.206741689,0.250507148,0.243859441
58,76001,76,001,CALI,2018,563040919.7,3.399043723,-76.57649259,Valle del Cauca,Sur,0.024741407,0.509869387,0.446135713,0,0,0.509869387,0.063733673,0.509869387,0.453273885,0,NA,0.125,NA,1,NA,0.889,NA,0,40703.27972,58,95893.69297,0.87965616,0.998217469,0.76969914,0.097641834,0,0.87965616,0.10995702,0.586730659,0.87965616,0,0.873440285,0.110802139,0,0.998217469,0.124777184,0.665811052,0.998217469,0,0,286.7561646,0.516042781,0.193516043,0,0,0.309625668,Región Pacífico,76,Valle del Cauca,76.001,Cali,West,0.125,0,0.111,0.3,0.2125,0.0555,448242,353824,742,11508,41795,856111,-94418,0.413292202,0.523579302,-0.110287101,0.192341941,0,0.042699911,0.064049866,0,0,0,0,0.019234194,0.228325362,0.166147811,0.203317652,0.26711834
275,66400,66,400,LA VIRGINIA,2018,32801213.13,4.904704187,-75.85208162,Risaralda,Uno - vertiente oriental,0.026286574,0.510485618,0.446674916,0,0,0.510485618,0.063810702,0.510485618,0.453821715,0,NA,0.125,NA,1,NA,0.889,NA,0,277.2373787,275,15876.72965,0.261700096,0.727272727,0.228987584,0.029048711,0,0.261700096,0.032712512,0.174553964,0.261700096,0,0.636363636,0.080727273,0,0.727272727,0.090909091,0.485090909,0.727272727,0,23.58497238,194.2367554,0.297682709,0.111631016,0,0,0.178609626,Región Eje Cafetero - Antioquia,66,Risaralda,66.4,La Virginia,North,0.25,0.222,0.333,0.1,0.175,0.2775,4436,10075,37,437,876,15861,5639,0.635205851,0.279679718,0.355526133,0.512911843,0,0.113866429,0.170799644,0,0,0,0,0.051291184,0.19992367,0.176521279,0.210611761,0.195957394
