MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
18001,2547637532.26,3411,1161270.1786420734,1147643.574027169,3411,4.558223703086658e-4,4.504736484271758e-4,1.3388874817580953e-6
18029,414122070.187,140,222836.6966343975,222836.6966343975,140,5.380942303649112e-4,5.380942303649112e-4,3.3806457100144875e-7
18094,1191618571.63,318,312932.27577567036,276306.9677920184,318,2.6261110998598673e-4,2.3187534532468853e-4,2.668639173397674e-7
18247,1106076151.1,406,373803.16876845894,372364.01361618284,406,3.3795427954640307e-4,3.366531438598187e-4,3.6706333428871994e-7
18256,1234734144.92,254,364501.9580007629,361999.52348251356,254,2.9520683420023136e-4,2.9318013515044404e-4,2.057122993196701e-7
18410,1701061429.71,342,643477.2683098883,624257.6799475219,342,3.782798534322123e-4,3.6698126772173443e-4,2.0105094032865396e-7
18460,1220575999.24,210,335802.65121209016,322922.91756480443,210,2.751181830719103e-4,2.6456600634935847e-4,1.720499175231677e-7
18479,462479590.659,96,180834.0377626225,163435.2002792738,96,3.9100976867962337e-4,3.533890004667891e-4,2.0757672757668493e-7
18610,1304769006.24,363,273399.63395014324,258694.33681449082,363,2.0953872497171653e-4,1.9826830310752064e-4,2.78210164606891e-7
18860,1330210015.03,387,626100.850938176,522003.2084550399,387,4.706781965733852e-4,3.9242164963196975e-4,2.909315037680513e-7
18150,12785618789.2,632,1089493.227588935,1044849.3553281572,632,8.521239726850208e-5,8.172067168237023e-5,4.943053679449991e-8
18753,17464634367.7,1487,2550888.3501962703,2501275.3944474994,1487,1.4606022070029793e-4,1.4321945377072926e-4,8.514349448678609e-8
18756,42312783610.3,533,614320.9057514124,300471.309484374,533,1.4518565155374726e-5,7.101194576365136e-6,1.2596665936916859e-8
18785,476931472.859,154,138673.27361989822,120729.67348846371,154,2.9076142278598494e-4,2.5313840742096765e-4,3.2289754139485895e-7
18205,403358249.431,153,164555.95912832598,163322.86665715478,153,4.0796477910259166e-4,4.049077138934118e-4,3.7931541059549535e-7
18592,4146397159.69,639,890900.4163906579,845331.0997405123,639,2.14861331917675e-4,2.0387123258682542e-4,1.5410969460720303e-7
19001,480179743.319,7882,1695499.7015344738,1682686.7875222336,7882,0.0035309688197490137,0.003504285240963125,1.6414686603644825e-5
19022,236714830.796,241,256435.05247959247,252044.51538496997,241,0.001083307926323329,0.0010647601358031557,1.018102664668666e-6
19050,775787826.117,413,358976.9144197776,352176.4845458672,413,4.6272563494137464e-4,4.5395979762739136e-4,5.323620532525779e-7
19075,413211197.428,323,338582.47313609155,335681.20654678415,323,8.193932672772931e-4,8.123719992009048e-4,7.816825923655691e-7
19100,797820255.536,590,605588.3392389155,595951.53337424,590,7.590536026589883e-4,7.469746841334099e-4,7.395149420010902e-7
19110,435028798.694,520,496650.8467376925,493218.79705447296,520,0.001141650502745308,0.0011337612556574764,1.1953231638022402e-6
19130,552278611.707,939,910683.3362631954,864527.437132864,939,0.0016489563726692707,0.0015653827955798534,1.7002287977398028e-6
19137,354738653.343,845,607398.4426186496,606973.6891106663,845,0.0017122420601606968,0.0017110446899164888,2.3820353153986913e-6
19142,266564588.309,963,428826.57287913526,428655.2601828727,963,0.0016087154546651269,0.0016080727860445523,3.612632893622376e-6
19212,325915580.668,472,337673.64045160427,336300.30669493723,472,0.0010360770103703077,0.0010318632389579308,1.4482277865715528e-6
19290,56652636.3113,112,83982.91253877588,83982.91253877588,112,0.0014824184364042481,0.0014824184364042481,1.9769600726888037e-6
19300,98865801.9952,423,221713.60145482884,221713.60145482884,423,0.0022425712124966445,0.0022425712124966445,4.278526967500218e-6
19355,866312068.588,604,434712.3445475155,401228.3427638974,604,5.017964776319601e-4,4.631452767567448e-4,6.972083408516496e-7
19364,234447557.463,264,201701.85781052193,201701.85781052193,264,8.603282541868839e-4,8.603282541868839e-4,1.1260513986871622e-6
19392,208354419.869,215,212016.26388375912,191773.84086510554,215,0.0010175750724033667,9.204212753714595e-4,1.0318955563082287e-6
19397,516074880.701,397,342791.356386193,305142.2950839792,397,6.642279428918711e-4,5.912752325195431e-4,7.692682105758431e-7
19450,697981385.333,481,512445.7359470299,512445.7359470299,481,7.341825250863205e-4,7.341825250863205e-4,6.891301259710811e-7
