"MPIO_CDPMP","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","FID_6t9"
"05001","Región Eje Cafetero - Antioquia",5,"Antioquia",5.001,"Medellín","North",0.25,0.222,0.333,0.1,282
"05002","Región Eje Cafetero - Antioquia",5,"Antioquia",5.002,"Abejorral","North",0.25,0.222,0.333,0.1,305
"05004","Región Eje Cafetero - Antioquia",5,"Antioquia",5.004,"Abriaquí","North",0.25,0.222,0.333,0.1,304
"05021","Región Eje Cafetero - Antioquia",5,"Antioquia",5.021,"Alejandría","North",0.25,0.222,0.333,0.1,303
"05030","Región Eje Cafetero - Antioquia",5,"Antioquia",5.03,"Amagá","North",0.25,0.222,0.333,0.1,302
"05031","Región Eje Cafetero - Antioquia",5,"Antioquia",5.031,"Amalfi","North",0.25,0.222,0.333,0.1,301
"05034","Región Eje Cafetero - Antioquia",5,"Antioquia",5.034,"Andes","North",0.25,0.222,0.333,0.1,300
"05036","Región Eje Cafetero - Antioquia",5,"Antioquia",5.036,"Angelópolis","North",0.25,0.222,0.333,0.1,299
"05038","Región Eje Cafetero - Antioquia",5,"Antioquia",5.038,"Angostura","North",0.25,0.222,0.333,0.1,298
"05040","Región Eje Cafetero - Antioquia",5,"Antioquia",5.04,"Anorí","North",0.25,0.222,0.333,0.1,297
"05042","Región Eje Cafetero - Antioquia",5,"Antioquia",5.042,"Santafé de Antioquia","North",0.25,0.222,0.333,0.1,296
"05044","Región Eje Cafetero - Antioquia",5,"Antioquia",5.044,"Anza","North",0.25,0.222,0.333,0.1,295
"05045","Región Eje Cafetero - Antioquia",5,"Antioquia",5.045,"Apartadó","North",0.25,0.222,0.333,0.1,404
"05051","Región Eje Cafetero - Antioquia",5,"Antioquia",5.051,"Arboletes","North",0.25,0.222,0.333,0.1,294
"05055","Región Eje Cafetero - Antioquia",5,"Antioquia",5.055,"Argelia","North",0.25,0.222,0.333,0.1,293
"05059","Región Eje Cafetero - Antioquia",5,"Antioquia",5.059,"Armenia","North",0.25,0.222,0.333,0.1,292
"05079","Región Eje Cafetero - Antioquia",5,"Antioquia",5.079,"Barbosa","North",0.25,0.222,0.333,0.1,291
"05086","Región Eje Cafetero - Antioquia",5,"Antioquia",5.086,"Belmira","North",0.25,0.222,0.333,0.1,290
"05088","Región Eje Cafetero - Antioquia",5,"Antioquia",5.088,"Bello","North",0.25,0.222,0.333,0.1,289
"05091","Región Eje Cafetero - Antioquia",5,"Antioquia",5.091,"Betania","North",0.25,0.222,0.333,0.1,288
"05093","Región Eje Cafetero - Antioquia",5,"Antioquia",5.093,"Betulia","North",0.25,0.222,0.333,0.1,287
"05101","Región Eje Cafetero - Antioquia",5,"Antioquia",5.101,"Ciudad Bolívar","North",0.25,0.222,0.333,0.1,283
"05107","Región Eje Cafetero - Antioquia",5,"Antioquia",5.107,"Briceño","North",0.25,0.222,0.333,0.1,284
"05113","Región Eje Cafetero - Antioquia",5,"Antioquia",5.113,"Buriticá","North",0.25,0.222,0.333,0.1,285
"05120","Región Eje Cafetero - Antioquia",5,"Antioquia",5.12,"Cáceres","North",0.25,0.222,0.333,0.1,286
"05125","Región Eje Cafetero - Antioquia",5,"Antioquia",5.125,"Caicedo","North",0.25,0.222,0.333,0.1,351
"05129","Región Eje Cafetero - Antioquia",5,"Antioquia",5.129,"Caldas","North",0.25,0.222,0.333,0.1,350
"05134","Región Eje Cafetero - Antioquia",5,"Antioquia",5.134,"Campamento","North",0.25,0.222,0.333,0.1,349
"05138","Región Eje Cafetero - Antioquia",5,"Antioquia",5.138,"Cañasgordas","North",0.25,0.222,0.333,0.1,348
"05142","Región Eje Cafetero - Antioquia",5,"Antioquia",5.142,"Caracolí","North",0.25,0.222,0.333,0.1,347
"05145","Región Eje Cafetero - Antioquia",5,"Antioquia",5.145,"Caramanta","North",0.25,0.222,0.333,0.1,346
"05147","Región Eje Cafetero - Antioquia",5,"Antioquia",5.147,"Carepa","North",0.25,0.222,0.333,0.1,345
"05148","Región Eje Cafetero - Antioquia",5,"Antioquia",5.148,"El Carmen de Viboral","North",0.25,0.222,0.333,0.1,344
"05150","Región Eje Cafetero - Antioquia",5,"Antioquia",5.15,"Carolina","North",0.25,0.222,0.333,0.1,343
"05154","Región Eje Cafetero - Antioquia",5,"Antioquia",5.154,"Caucasia","North",0.25,0.222,0.333,0.1,342
"05172","Región Eje Cafetero - Antioquia",5,"Antioquia",5.172,"Chigorodó","North",0.25,0.222,0.333,0.1,341
"05190","Región Eje Cafetero - Antioquia",5,"Antioquia",5.19,"Cisneros","North",0.25,0.222,0.333,0.1,340
"05197","Región Eje Cafetero - Antioquia",5,"Antioquia",5.197,"Cocorná","North",0.25,0.222,0.333,0.1,339
"05206","Región Eje Cafetero - Antioquia",5,"Antioquia",5.206,"Concepción","North",0.25,0.222,0.333,0.1,338
"05209","Región Eje Cafetero - Antioquia",5,"Antioquia",5.209,"Concordia","North",0.25,0.222,0.333,0.1,337
"05212","Región Eje Cafetero - Antioquia",5,"Antioquia",5.212,"Copacabana","North",0.25,0.222,0.333,0.1,336
"05234","Región Eje Cafetero - Antioquia",5,"Antioquia",5.234,"Dabeiba","North",0.25,0.222,0.333,0.1,398
"05237","Región Eje Cafetero - Antioquia",5,"Antioquia",5.237,"Don Matías","North",0.25,0.222,0.333,0.1,335
"05240","Región Eje Cafetero - Antioquia",5,"Antioquia",5.24,"Ebéjico","North",0.25,0.222,0.333,0.1,334
"05250","Región Eje Cafetero - Antioquia",5,"Antioquia",5.25,"El Bagre","North",0.25,0.222,0.333,0.1,333
"05264","Región Eje Cafetero - Antioquia",5,"Antioquia",5.264,"Entrerrios","North",0.25,0.222,0.333,0.1,332
"05266","Región Eje Cafetero - Antioquia",5,"Antioquia",5.266,"Envigado","North",0.25,0.222,0.333,0.1,331
"05282","Región Eje Cafetero - Antioquia",5,"Antioquia",5.282,"Fredonia","North",0.25,0.222,0.333,0.1,330
"05284","Región Eje Cafetero - Antioquia",5,"Antioquia",5.284,"Frontino","North",0.25,0.222,0.333,0.1,399
"05306","Región Eje Cafetero - Antioquia",5,"Antioquia",5.306,"Giraldo","North",0.25,0.222,0.333,0.1,329
"05308","Región Eje Cafetero - Antioquia",5,"Antioquia",5.308,"Girardota","North",0.25,0.222,0.333,0.1,397
"05310","Región Eje Cafetero - Antioquia",5,"Antioquia",5.31,"Gómez Plata","North",0.25,0.222,0.333,0.1,396
"05313","Región Eje Cafetero - Antioquia",5,"Antioquia",5.313,"Granada","North",0.25,0.222,0.333,0.1,395
"05315","Región Eje Cafetero - Antioquia",5,"Antioquia",5.315,"Guadalupe","North",0.25,0.222,0.333,0.1,394
