"FID","MPIO_CDPMP","DPTO_CCDGO","MPIO_CCDGO","MPIO_CNMBR","VERSION","AREA","LATITUD","LONGITUD","depto","provincia","indrural","CDF_0t1","el_c0","em_c0","cs_c0","cw_c0","el_c1","em_c1","cs_c1","cw_c1","el_d0","el_d1","em_d0","em_d1","cs_d0","cs_d1","cw_d0","cw_d1","VAM18_2t3","FID_2t3","PBID18_2t3","eCDF_2t3d","eCDF_2t3m","el_c2d","em_c2d","cs_c2d","cw_c2d","el_c3d","em_c3d","cs_c3d","cw_c3d","el_c2m","em_c2m","cs_c2m","cw_c2m","el_c3m","em_c3m","cs_c3m","cw_c3m","discapital","disbogota","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","m1_t6t9","m2_t6t9","Petro","Duque","nomark","null","blank","vtotal","MOV_top2","Duque_pct","Petro_pct","MOV_pct","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16","cw_c16","el_i","em_i","cs_i","cw_i"
0,"18001","18","001","FLORENCIA",2018,2547637532.26,1.74913870382,-75.5582390643,"Caquetá","Caquetá",0.121220581233501,0.548241838570502,0.479711608749189,0,0,0.548241838570502,0.0685302298213127,0.548241838570502,0.487386994489176,0,NA,0.125,NA,1,NA,0.889,NA,0,1935.53351371447,0,4071.61496093502,0.0439350525310411,0.942067736185383,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.82430926916221,0.104569518716578,0,0.942067736185383,0.117758467023173,0.628359180035651,0.942067736185383,0,0,341.27587890625,0.61319073083779,0.229946524064171,0,0,0.367914438502674,"Región Centro Sur",18,"Caquetá",18.001,"Florencia","South",0.25,0,0,0.5,0.375,0,20584,40730,73,768,2474,64629,20146,0.630212443330394,0.318494793359018,0.311717649971375,0.472840605520926,0,0.104970614425646,0.157455921638468,0,0,0,0,0.0472840605520926,0.246282012352507,0.173267643968547,0.198363831539128,0.300688509226331
1,"18029","18","029","ALBANIA",2018,414122070.187,1.22786549019,-75.8823265076,"Caquetá","Caquetá",0.559358298778534,0.712041392340069,0.62303621829756,0,0,0.712041392340069,0.0890051740425086,0.712041392340069,0.633004797790321,0,0.875,NA,0,NA,0,NA,1,NA,50.9802259402667,1,4071.61496093502,0.0439350525310411,0.168449197860963,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.147393048128342,0.0186978609625668,0,0.168449197860963,0.0210561497326203,0.112355614973262,0.168449197860963,0,60.1241760253906,401.256439208984,0.680035650623886,0.255013368983957,0,0,0.408021390374332,"Región Centro Sur",18,"Caquetá",18.029,"Albania","South",0.25,0,0,0.5,0.375,0,370,1519,4,23,57,1973,1149,0.769893563101875,0.187531677648251,0.582361885453624,0.7506678539626,0,0.166648263579697,0.249972395369546,0,0,0,0,0.07506678539626,0.173187994898124,0.126217891481949,0.131428298877604,0.232947345746453
2,"18094","18","094","BELÉN DE LOS ANDAQUÍES",2018,1191618571.63,1.50092300306,-75.8756454243,"Caquetá","Caquetá",0.387260675430298,0.650718382473912,0.569378584664673,0,0,0.650718382473912,0.081339797809239,0.650718382473912,0.578488642019308,0,NA,0.125,NA,1,NA,0.889,NA,0,70.1543290947686,2,4071.61496093502,0.0439350525310411,0.270053475935829,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.23629679144385,0.029975935828877,0,0.270053475935829,0.0337566844919786,0.180125668449198,0.270053475935829,0,35.6532325744629,375.040374755859,0.651515151515151,0.244318181818182,0,0,0.390909090909091,"Región Centro Sur",18,"Caquetá",18.094,"Belén de Los Andaquies","South",0.25,0,0,0.5,0.375,0,968,2689,9,61,106,3833,1721,0.701539264283851,0.252543699452126,0.448995564831724,0.602849510240427,0,0.133832591273375,0.200748886910062,0,0,0,0,0.0602849510240427,0.17688625502849,0.12433157225317,0.13116137560815,0.233995737542859
3,"18247","18","247","EL DONCELLO",2018,1106076151.1,1.79138590347,-75.1939441549,"Caquetá","Caquetá",0.299160361289978,0.617591153918438,0.540392259678633,0,0,0.617591153918438,0.0771988942398047,0.617591153918438,0.549038535833491,0,NA,0.125,NA,1,NA,0.889,NA,0,141.288238240827,3,4071.61496093502,0.0439350525310411,0.508912655971479,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.445298573975045,0.0564893048128342,0,0.508912655971479,0.0636140819964349,0.339444741532977,0.508912655971479,0,51.0240592956543,306.364227294922,0.561497326203209,0.210561497326203,0,0,0.336898395721925,"Región Centro Sur",18,"Caquetá",18.247,"El Doncello","South",0.25,0,0,0.5,0.375,0,1983,4516,25,110,269,6903,2533,0.654208315225264,0.287266405910474,0.366941909314791,0.524487978628673,0,0.116436331255565,0.174654496883348,0,0,0,0,0.0524487978628673,0.198383163402015,0.141245191439977,0.15407571108604,0.251981375434339
4,"18256","18","256","EL PAUJÍL",2018,1234734144.92,1.61774635616,-75.2340433342,"Caquetá","Caquetá",0.508871138095856,0.694578724178855,0.607756383656498,0,0,0.694578724178855,0.0868223405223569,0.694578724178855,0.617480485795002,0,0.875,NA,0,NA,0,NA,1,NA,97.8680388604176,4,4071.61496093502,0.0439350525310411,0.385918003565062,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.33767825311943,0.0428368983957219,0,0.385918003565062,0.0482397504456328,0.257407308377897,0.385918003565062,0,36.9441757202148,318.908020019531,0.577540106951872,0.216577540106952,0,0,0.346524064171123,"Región Centro Sur",18,"Caquetá",18.256,"El Paujil","South",0.25,0,0,0.5,0.375,0,1863,2552,17,53,153,4638,689,0.55023717119448,0.401681759379043,0.148555411815438,0.357079252003562,0,0.0792715939447907,0.118907390917186,0,0,0,0,0.0357079252003562,0.193384283481359,0.134261815612158,0.140288235034656,0.245341089639425
5,"18410","18","410","LA MONTAÑITA",2018,1701061429.71,1.30286044233,-75.2357273187,"Caquetá","Caquetá",0.83233654499054,0.797390495869505,0.697716683885816,0,0,0.797390495869505,0.0996738119836881,0.797390495869505,0.708880150827989,0,0.875,NA,0,NA,0,NA,1,NA,79.3632833865596,5,4071.61496093502,0.0439350525310411,0.311942959001783,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.27295008912656,0.0346256684491979,0,0.311942959001783,0.0389928698752228,0.208065953654189,0.311942959001783,0,39.9714736938477,345.502319335938,0.618538324420677,0.231951871657754,0,0,0.371122994652406,"Región Centro Sur",18,"Caquetá",18.41,"La Montañita","South",0.25,0,0,0.5,0.375,0,2223,1730,8,47,99,4107,-493,0.421232042853665,0.54127100073046,-0.120038957876796,0.184327693677649,0,0.0409207479964381,0.0613811219946572,0,0,0,0,0.0184327693677649,0.19891066581613,0.135125358246166,0.135275528978054,0.249861152361432
6,"18460","18","460","MILÁN",2018,1220575999.24,1.14669255394,-75.3866476384,"Caquetá","Caquetá",0.897048234939575,0.815153410457449,0.713259234150268,0,0,0.815153410457449,0.101894176307181,0.815153410457449,0.724671381896672,0,0.875,NA,0,NA,0,NA,1,NA,70.6906672933392,6,4071.61496093502,0.0439350525310411,0.276292335115865,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.241755793226381,0.030668449197861,0,0.276292335115865,0.0345365418894831,0.184286987522282,0.276292335115865,0,65.9507827758789,385.141937255859,0.663992869875223,0.248997326203209,0,0,0.398395721925134,"Región Centro Sur",18,"Caquetá",18.46,"Milán","South",0.25,0,0,0.5,0.375,0,669,1306,5,15,41,2036,637,0.641453831041257,0.328585461689587,0.31286836935167,0.474621549421193,0,0.105365983971505,0.158048975957257,0,0,0,0,0.0474621549421193,0.198805383972065,0.141934353893637,0.144876586621224,0.254662952805071
7,"18479","18","479","MORELIA",2018,462479590.659,1.38299610984,-75.6738112337,"Caquetá","Caquetá",0.457274198532104,0.676263013716584,0.591730137002011,0,0,0.676263013716584,0.084532876714573,0.676263013716584,0.601197819194043,0,NA,0.125,NA,1,NA,0.889,NA,0,28.7893765945114,7,4071.61496093502,0.0439350525310411,0.0659536541889483,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.0577094474153298,0.00732085561497326,0,0.0659536541889483,0.00824420677361854,0.0439910873440285,0.0659536541889483,0,29.2852745056152,370.479431152344,0.647058823529412,0.242647058823529,0,0,0.388235294117647,"Región Centro Sur",18,"Caquetá",18.479,"Morelia","South",0.25,0,0,0.5,0.375,0,364,1293,NA,13,39,1709,929,0.756582796957285,0.212990052662376,0.543592744294909,0.70080142475512,0,0.155577916295637,0.233366874443455,0,0,0,0,0.070080142475512,0.154357965841133,0.110394109121403,0.112564793478306,0.212566513062336
8,"18610","18","610","SAN JOSÉ DEL FRAGUA",2018,1304769006.24,1.30470231426,-76.1100059415,"Caquetá","Caquetá",0.508322238922119,0.694386311789104,0.607588022815466,0,0,0.694386311789104,0.086798288973638,0.694386311789104,0.617309431180513,0,0.875,NA,0,NA,0,NA,1,NA,92.0444022445483,8,4071.61496093502,0.0439350525310411,0.363636363636364,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.318181818181818,0.0403636363636364,0,0.363636363636364,0.0454545454545455,0.242545454545455,0.363636363636364,0,71.0593032836914,406.150512695312,0.683600713012478,0.256350267379679,0,0,0.410160427807487,"Región Centro Sur",18,"Caquetá",18.61,"San José del Fragua","South",0.25,0,0,0.5,0.375,0,1438,2666,11,73,140,4328,1228,0.615988909426987,0.332255083179298,0.283733826247689,0.449688334817453,0,0.0998308103294746,0.149746215494212,0,0,0,0,0.0449688334817453,0.195546617850643,0.134640776628459,0.141336501288886,0.251643992089337
9,"18860","18","860","VALPARAÍSO",2018,1330210015.03,1.06129220657,-75.6270476674,"Caquetá","Caquetá",0.660810232162476,0.745632989975195,0.652428866228296,0,0,0.745632989975195,0.0932041237468994,0.745632989975195,0.662867728087948,0,0.875,NA,0,NA,0,NA,1,NA,63.4482834617102,9,4071.61496093502,0.0439350525310411,0.225490196078431,0.0384431709646609,0.00487679083094556,0,0.0439350525310411,0.00549188156638013,0.0293046800382044,0.0439350525310411,0,0.197303921568627,0.0250294117647059,0,0.225490196078431,0.0281862745098039,0.150401960784314,0.225490196078431,0,59.2463912963867,396.49560546875,0.672905525846702,0.252339572192513,0,0,0.403743315508021,"Región Centro Sur",18,"Caquetá",18.86,"Valparaíso","South",0.25,0,0,0.5,0.375,0,560,1467,6,34,96,2163,907,0.678224687933426,0.258899676375405,0.419325011558021,0.574354407836153,0,0.127506678539626,0.191260017809439,0,0,0,0,0.0574354407836153,0.184182844780767,0.13107138013298,0.134952242746977,0.241537742793158
