id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto90,coddpto,departamento90,departamento,codmpio90,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619900001,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,1,FLOREZ,VELEZ,OMAR DE JESUS,120320,1
619900001,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,994,RESTO DE VOTACION,,,119651,0
619900002,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18490002,1,LONDONO,MARTINEZ,JORGE ANTONIO,2192,1
619900002,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,,994,RESTO DE VOTACION,,,2985,0
619900003,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Municipal,18490002,1,QUIROZ,URREGO,LIBARDO AUGUSTO,785,1
619900003,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Municipal,,994,RESTO DE VOTACION,,,0,0
619900004,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,18490002,1,VALENCIA,VARGAS,OSCAR IGNACIO,942,1
619900004,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,,994,RESTO DE VOTACION,,,842,0
619900005,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18480001,1,SANCHEZ,BETANCUR,MARIO DE J,2235,1
619900005,1990,Alcaldía Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,994,RESTO DE VOTACION,,,3920,0
