id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto92,coddpto,departamento92,departamento,codmpio92,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,2,AGUIRRE,SANIN,AURELIO,42848,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,3,SANCHEZ,GIRALDO,RAFAEL,674,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19770001,5,AGUDELO,OQUENDO,JOHN JAIR,657,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19780002,4,GALLEGO,GONZALEZ,MAGNOLIA,3316,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19929999,1,RAMOS,BOTERO,LUIS ALFREDO,98575,1
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19929999,6,SEPULVEDA,A,JUAN GUILLERMO,3929,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19929999,7,BETANCUR,AGUILAR,JORGE HERNAN,524,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19929999,8,ECHEVERRY,CORRE,MARIA VICTORIA,383,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19929999,9,OLARTE,DURANGO,LUIS MARIANO,351,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,1523,0
619920001,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,10741,0
619920002,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18490002,2,GUTIERREZ,DUQUE,MARIO DE JESUS,1895,1
619920002,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,,994,RESTO DE VOTACION,,,2905,0
619920003,1992,Alcaldía Municipal,Marzo 8,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Municipal,19900001,2,LONDONO,VILLA,GLORIA EUGENIA,469,1
