id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,30027,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,18480001,3,MEDINA,,BALTAZAR,6669,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,122854,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,5450,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,84114,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,997,TARJETAS NO MARCADAS,,,18054,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,998,VOTOS NULOS,,,6523,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,999,VOTOS EN BLANCO,,,31050,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,109,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,18480001,3,MEDINA,,BALTAZAR,88,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,1735,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,148,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,2233,0
