Number,Country,Name,Financing,Status,Approval
CO-T1736,Colombia,"Caquetá Native Species Seed Bank","1,251,733",Implementation,"Feb. 16, 2024"
CO-G1052,Colombia,"LAC eCoop - CFA. Green financing pilot to promote community clean energy solutions for productive purposes","402,214",Implementation,"Dec. 6, 2023"
CO-G1053,Colombia,"LAC eCoop - Crediservir. Green financing pilot to promote community clean energy solutions for productive purposes","602,071",Implementation,"Dec. 6, 2023"
CO-L1297,Colombia,"Sunco: Electrifying Development in Dispersed Rural Areas","10,000,000",Implementation,"Nov. 17, 2023"
CO-L1296,Colombia,"Fibrazo: Digital Inclusion - Connecting Neighborhoods in Latin America and the Caribbean","7,000,000",Implementation,"Nov. 3, 2023"
CO-G1050,Colombia,"QUIPU: Promoting Financial Inclusion for Women Microentrepreneurs","1,480,328",Implementation,"Oct. 13, 2023"
CO-T1734,Colombia,"SOCIAL IMPACT BONDS, PHASE II: Scaling Up Results Based Finance Interventions in Peru and Colombia","6,889,880",Implementation,"Sep. 28, 2023"
CO-G1049,Colombia,"QuantilAI: Algorithmic Audit","174,560",Implementation,"Jul. 31, 2023"
CO-G1048,Colombia,"Enhancing the market for biodiversity credits through the implementation of digital tokens under an integrity protocol.","1,000,000",Implementation,"Jun. 9, 2023"
CO-T1730,Colombia,"Enhancing the market for biodiversity credits through the implementation of digital tokens under an integrity protocol","100,000",Implementation,"Jun. 9, 2023"
CO-L1293,Colombia,"AgriCapital: Democratizing Agricultural Lending in Colombia","1,800,000",Implementation,"Apr. 6, 2023"
CO-L1279,Colombia,"ALIATU: Financial Inclusion of Micro and Small Companies in Colombia","11,000,000",Implementation,"Dec. 15, 2022"
CO-T1723,Colombia,"INDII Fund - Indigenous Fund Capitalized By Natural Capital Token In The Colombian Amazon","160,000",Implementation,"Dec. 8, 2022"
CO-T1673,Colombia,"INDII Fund - Indigenous Fund Capitalized By Natural Capital Token In The Colombian Amazon","146,000",Implementation,"May. 13, 2022"
CO-T1653,Colombia,"Impacto Buenaventura: High Potential Local Enterprises","187,500",Implementation,"Jan. 3, 2022"
CO-T1639,Colombia,"Addressing Migration and Value Chains in the Arauca Region","1,706,000",Implementation,"Sep. 24, 2021"
CO-T1632,Colombia,"Civico - Neighborhood Stores: Resilience Through Digitization","1,064,000",Implementation,"Jul. 8, 2021"
CO-T1605,Colombia,"Leticia - Artificial Intelligence and Semantic Data Analysis as a Model for Managing Digital Platforms of the IDB Lab","300,280",Closed,"Mar. 24, 2021"
CO-T1601,Colombia,"Technology and Innovation to Close the Conservation Finance Gap in the Amazon Basin. The Herencia Colombia Pilot","2,497,036",Implementation,"Dec. 18, 2020"
CO-T1600,Colombia,"Remittances and Savings for Financial Inclusion of Venezuelan Migrants","1,000,279",Closed,"Dec. 4, 2020"
CO-T1606,Colombia,"Second Chances Employment Hub","187,500",Closed,"Nov. 20, 2020"
CO-T1594,Colombia,"Ni1 + - Gamechanger Against Gender Violence","187,500",Closed,"Oct. 28, 2020"
CO-G1022,Colombia,"Innovative Financing for Businesses in Low-Income Communities","2,850,000",Implementation,"Sep. 17, 2020"
CO-T1582,Colombia,"Prototype of the Medical Guidance Platform for All","200,000",Closed,"May. 6, 2020"
CO-T1581,Colombia,"InnspiraMed - Ventilators for Critically Ill Patients Infected with COVID-19.","188,000",Closed,"Apr. 14, 2020"
CO-T1546,Colombia,"Strengthening Local Collaborative Economies","195,000",Closed,"Dec. 9, 2019"
CO-T1531,Colombia,"SETP Popayán: Technology Pilot for Fleet Monitoring and Management","125,000",Closed,"Nov. 20, 2019"
CO-T1526,Colombia,"Medellín Disruptors: The Future of Extraordinary Talent","2,000,000",Closed,"Jun. 13, 2019"
CO-L1239,Colombia,"Digital Financial Services in an Ecosystem of Inclusion","7,000,000",Cancelled,"Nov. 26, 2018"
CO-T1489,Colombia,"Digital Financial Services in an Ecosystem of Inclusion","400,000",Closed,"Nov. 26, 2018"
CO-Q0017,Colombia,"E-KAKASHI: The Agriculture AI Brain","4,500,000",Cancelled,"Oct. 25, 2018"
CO-T1483,Colombia,"Antioquia Innovates in HealthTech for the Low-income Population","3,500,000",Closed,"Oct. 25, 2018"
CO-T1488,Colombia,"E-KAKASHI: The Agriculture AI Brain","1,000,000",Closed,"Oct. 25, 2018"
CO-L1253,Colombia,"Equity Investment in SEMPLI: Online Lending Platform for Innovative Startups and Scaleups","3,150,000",Closed,"May. 4, 2018"
CO-T1461,Colombia,"Digital Finance Ecosystem for Small and Medium-Sized Enterprises","3,460,000",Closed,"Dec. 14, 2017"
CO-T1465,Colombia,"IdeasLab Quibdó","300,000",Closed,"Nov. 10, 2017"
CO-T1463,Colombia,"Sustainable Dairy Value Chain in Caquetá","800,000",Closed,"Nov. 5, 2017"
CO-Q0016,Colombia,"Innovative Instruments to Foster Energy Efficiency in SMES in Colombia","3,300,000",Cancelled,"Sep. 13, 2017"
CO-T1462,Colombia,"Innovative Instruments to Foster Energy Efficiency in SMEs in Colombia","2,050,000",Cancelled,"Sep. 13, 2017"
CO-T1458,Colombia,"Credit Rating Technology for Emerging Enterprises","357,400",Closed,"Sep. 12, 2017"
CO-T1436,Colombia,"Implementation of the Habitat Banking Model in Colombia","1,218,800",Closed,"Nov. 28, 2016"
CO-Q0014,Colombia,"Implementation of the Habitat Banking Model in Colombia","760,000",Implementation,"Nov. 28, 2016"
CO-Q0013,Colombia,"Equity Investment in SEMPLI: Online Lending Platform for Innovative Startups and Scaleups","14,500,000",Implementation,"Nov. 2, 2016"
CO-T1437,Colombia,"Equity Investment in SEMPLI: Online platform for financing innovative startups & scaleups","160,000",Cancelled,"Nov. 2, 2016"
CO-T1434,Colombia,"Pay-for-Success Financing for Innovations in Urban Workforce Development","9,974,211",Implementation,"Sep. 21, 2016"
CO-M1100,Colombia,"Revitalizing and Strengthening Entrepreneurship among Low-Income Youth","2,000,000",Closed,"Aug. 4, 2016"
CO-M1098,Colombia,"ECOMICRO - Fundacion Coomeva","405,067",Closed,"Jun. 17, 2016"
CO-M1103,Colombia,"Online System Information Requirements For Non-Tariff For SMEs","700,000",Closed,"Feb. 1, 2016"
CO-S1012,Colombia,"Access to Finance and Entrepreneurial Development in Rural Nariño","900,000",Closed,"Dec. 15, 2015"
CO-X1021,Colombia,"Access to Finance and Entrepreneurial Development in Rural Nariño","370,000",Closed,"Dec. 15, 2015"
CO-S1010,Colombia,"Financing for Coffee Plantation Renewal and Modernization by Women Growers in An","688,421",Closed,"Dec. 15, 2015"
CO-L1179,Colombia,"Financing for Coffee Plantation Renewal and Modernization by Women Growers in An","4,000,000",Closed,"Dec. 15, 2015"
CO-X1022,Colombia,"Social and Business Consolidation of the Association of Women Coffee Growers of","538,520",Closed,"Dec. 14, 2015"
CO-S1011,Colombia,"Social and Business Consolidation of the Association of Women Coffee Growers of","625,000",Closed,"Dec. 14, 2015"
CO-Q0011,Colombia,"Increasing Access to Finance for Small Businesses in Colombia","15,000,000",Cancelled,"Sep. 30, 2015"
CO-M1096,Colombia,"Increasing Access to Finance for Small Businesses in Colombia","570,000",Cancelled,"Sep. 30, 2015"
CO-M1102,Colombia,"Accelerating High-Potential SMEs through Access to Human Capital","680,540",Closed,"Sep. 15, 2015"
CO-M1099,Colombia,"ECOMICRO - Bancamia","370,332",Closed,"May. 11, 2015"
CO-M1089,Colombia,"Competitiveness Enhancement and Business Consolidation of Small Farmers for Illi","8,172,000",Closed,"Jan. 26, 2015"
CO-S1008,Colombia,"Restructuring the Livestock Sector to Achieve Sustainability for Dairy Producers","750,000",Closed,"Dec. 4, 2014"
CO-L1178,Colombia,"Restructuring the Livestock Sector to Achieve Sustainability for Dairy Producers","1,000,000",Closed,"Dec. 4, 2014"
CO-M1082,Colombia,"Developing Business Format Micro-franchising Models for Low Income Populations","2,540,150",Closed,"Jul. 23, 2014"
CO-T1374,Colombia,"New Employment Opportunities for Youth in the Urabá Region - Antioquia (NEO - UR","837,942",Closed,"Mar. 6, 2014"
CO-M1094,Colombia,"New Employment Opportunities for Youth in the Urabá Region - Antioquia (NEO - UR","5,814,508",Closed,"Mar. 6, 2014"
CO-S1007,Colombia,"Financial Inclusion for Microentrepreneur Women in Colombia","335,000",Closed,"Nov. 1, 2013"
CO-L1177,Colombia,"Financial Inclusion for Microentrepreneur Women in Colombia","1,140,000",Closed,"Nov. 1, 2013"
CO-Q0010,Colombia,"Velum Early Stage Fund I","12,572,822",Implementation,"Oct. 23, 2013"
