"variable","missing_count","missing_pct","missing_years","missing_type","imputation_method"
"year",0,0,NA,"No Missingness","None"
"IndRur_0t1",194,0.66,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"Pobre_2t3",28181,96.43,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"NBI_2t3",26980,92.32,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"NBIu_2t3",27021,92.46,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"NBIr_2t3",26987,92.35,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"IPM_2t3",26989,92.35,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"IPMu_2t3",27025,92.48,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"IPMr_2t3",27005,92.41,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"PIB_2t3",18254,62.46,"1998, 1999, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"DisMer_13",3420,11.7,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"DisBog_4t5",114,0.39,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"PobRur_0t1",114,0.39,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"PobUrb_0t1",114,0.39,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"PobTot_0t1",114,0.39,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"IDF_2t3",4344,14.86,"1998, 1999, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"north6",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"south7",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"east9",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"west8",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"axis_ns",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"axis_we",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"disp_ns",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"disp_we",2296,7.86,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"LATITUD",2320,7.94,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"LONGITUD",2320,7.94,"1998, 1999","Minor Gaps (Random Missingness)","Linear Interpolation"
"Desp_1011",4750,16.25,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"VDays_1011",2314,7.92,"2022, 2023","Minor Gaps (Random Missingness)","Linear Interpolation"
"VDays_10",2314,7.92,"2022, 2023","Minor Gaps (Random Missingness)","Linear Interpolation"
"VDays_11",2314,7.92,"2022, 2023","Minor Gaps (Random Missingness)","Linear Interpolation"
"HHomix_1011",2314,7.92,"2022, 2023","Minor Gaps (Random Missingness)","Linear Interpolation"
"PobTot_12",52,0.18,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"AREA",52,0.18,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"AREAkm",52,0.18,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"DenPob_12",52,0.18,NA,"Minor Gaps (Random Missingness)","Linear Interpolation"
"PobInd_14",21391,73.2,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"PobEtn_14",21391,73.2,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"PobInd_14p",21399,73.22,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"PobEtn_14p",21399,73.22,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"RulPar_15t16",21439,73.36,"1999, 2000, 2001, 2003, 2004, 2005, 2007, 2008, 2009, 2011, 2012, 2013, 2015, 2016, 2017, 2019, 2020, 2021, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"RulParD_15t16",21439,73.36,"1999, 2000, 2001, 2003, 2004, 2005, 2007, 2008, 2009, 2011, 2012, 2013, 2015, 2016, 2017, 2019, 2020, 2021, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
