variable,missing_count,missing_pct,missing_years
PIB_2t3,504,1.87,NA
RulPar_15t16,138,0.51,NA
RulParD_15t16,138,0.51,NA
PropInd_14,40,0.15,NA
PropEtn_14,40,0.15,NA
year,0,0,NA
DisBog_4t5,0,0,NA
north6,0,0,NA
south7,0,0,NA
west8,0,0,NA
east9,0,0,NA
axis_ns,0,0,NA
axis_we,0,0,NA
disp_ns,0,0,NA
disp_we,0,0,NA
IndRur_0t1,0,0,NA
IDF_2t3,0,0,NA
Desp_1011,0,0,NA
VDays_1011,0,0,NA
HHomix_1011,0,0,NA
ViolInd_1011,0,0,NA
DenPob_12,0,0,NA
DisMer_13,0,0,NA
nAllRds_13,0,0,NA
lAllRds_13,0,0,NA
lMjRds_13,0,0,NA
nAR_13pkm,0,0,NA
lAR_13pkm,0,0,NA
lMjRds_13pkm,0,0,NA
road_density_km,0,0,NA
total_obs,0,0,NA
