"variable","missing_count","missing_pct","missing_years"
"year",0,0,NA
"DisBog_4t5",72,0.27,NA
"north6",72,0.27,NA
"south7",72,0.27,NA
"west8",72,0.27,NA
"east9",72,0.27,NA
"axis_ns",72,0.27,NA
"axis_we",72,0.27,NA
"disp_ns",72,0.27,NA
"disp_we",72,0.27,NA
"IndRur_0t1",72,0.27,NA
"PIB_2t3",552,2.04,NA
"IDF_2t3",48,0.18,NA
"Desp_1011",134,0.5,NA
"VDays_1011",134,0.5,NA
"HHomix_1011",134,0.5,NA
"ViolInd_1011",134,0.5,NA
"DenPob_12",72,0.27,NA
"PropInd_14",112,0.41,NA
"PropEtn_14",112,0.41,NA
"DisMer_13",134,0.5,NA
"nAllRds_13",134,0.5,NA
"lAllRds_13",134,0.5,NA
"lMjRds_13",134,0.5,NA
"nAR_13pkm",134,0.5,NA
"lAR_13pkm",134,0.5,NA
"lMjRds_13pkm",134,0.5,NA
"RulPar_15t16",210,0.78,NA
"RulParD_15t16",210,0.78,NA
"total_obs",0,0,NA
