id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto88,coddpto,departamento88,departamento,codmpio88,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619880001,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,1,GOMEZ,MARTINEZ,JUAN PABLO,100686,1
619880001,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,994,RESTO DE VOTACION,,,103644,0
619880002,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18490002,1,ROJAS,OTALVARO,JORGE A,2803,1
619880002,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,,994,RESTO DE VOTACION,,,2664,0
619880003,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Municipal,18490002,1,VELEZ,GIRALDO,JULIO EMILIO,382,1
619880003,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Municipal,,994,RESTO DE VOTACION,,,325,0
619880004,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,18490002,1,VARGAS,HERNANDEZ,JHON J,652,1
619880004,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,,994,RESTO DE VOTACION,,,710,0
619880005,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18490002,1,GUZMAN,VANEGAS,GLADYS,1834,1
619880005,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,994,RESTO DE VOTACION,,,3250,0
619880006,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,18480001,1,QUINTERO,CASTANO,FCO A,1766,1
619880006,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,,994,RESTO DE VOTACION,,,1318,0
619880007,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,18490002,1,SIERRA,VELEZ,GUILLERMO O,2899,1
619880007,1988,Alcaldía Municipal,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,,994,RESTO DE VOTACION,,,3913,0
