id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19940022,50,NARANJO,PEREZ,SERGIO,98037,0
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19910002,51,FAJARDO,VALDERRAMA,SERGIO,59217,0
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18480001,52,PEREZ,GUTIERREZ,LUIS,128302,1
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20000051,53,ARRUBLA,PAUCAR,JAIME,49766,0
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,997,TARJETAS NO MARCADAS,,,11298,0
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,7156,0
620000001,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,19031,0
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,18480001,50,GONZALEZ,MUNOZ,LUIS IGNACIO,262,0
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,18490002,51,ZAPATA,ARBELAEZ,JULIO FERNANDO,3889,1
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20000012,52,MARIN,ZULUAGA,RUBEN DARIO,3322,0
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,997,TARJETAS NO MARCADAS,,,187,0
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,998,VOTOS NULOS,,,169,0
620000002,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,999,VOTOS EN BLANCO,,,50,0
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,20000021,50,LOPEZ,SEPULVEDA,JHON FREDY,1,0
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,19940016,51,VELEZ,GIRALDO,JULIO EMILIO,694,1
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,19940016,52,LEZCANO,BENITEZ,LUIS HERNAN,384,0
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,997,TARJETAS NO MARCADAS,,,6,0
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,998,VOTOS NULOS,,,24,0
620000003,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,999,VOTOS EN BLANCO,,,10,0
620000004,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,18490002,50,VALENCIA,VARGAS,OSCAR IGNACIO,937,0
620000004,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,18480001,51,AGUDELO,,IVAN DE JESUS,1154,1
620000004,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,997,TARJETAS NO MARCADAS,,,19,0
620000004,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,998,VOTOS NULOS,,,13,0
620000004,2000,Alcaldía,Octubre 29,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,999,VOTOS EN BLANCO,,,15,0
