id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto90,coddpto,departamento90,departamento,codmpio90,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,15054,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,1,1,ARANGO,PAVA,JOSE ROBERTO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,14780,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,2,1,ARBELAEZ,SIERRA,LUIS,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,17168,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,3,1,ESTRADA,VELEZ,FEDERICO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,4,,RAMIREZ,,FRANCISCO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,3898,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,5,1,GOMEZ,TAPIAS,TULIO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,9090,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,6,1,PEREZ,GARCIA,CESAR,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,7,,,,PARTIDO LIBERAL COLOMBIANO,31813,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,7,1,TRUJILLO,CALLE,BERNARDO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,7,2,ZAPATA,WALLISER,RAUL,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,7,3,ECHAVARRIA,HOYOS,JORGE,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,8,,,,PARTIDO LIBERAL COLOMBIANO,19179,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,8,1,CADAVID,GONIMA,HERNAN,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,8,2,VALLEJO,RIOS,JOHN,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,16663,0
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,1,1,NUNEZ,LAPEIRA,ALFONSO,0,1
719900001,1990,Concejo Municipal,Marzo 11,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,1,2,GARCIA,QUINTANA,JOSE,0,1
