id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto66,coddpto,departamento66,departamento,codmpio66,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,83798,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,30487,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,206,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,468,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,2684,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,355,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,8,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,200,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,3,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,5,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,629,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,22,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,,998,VOTOS NULOS,,,4,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,,999,VOTOS EN BLANCO,,,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,716,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,149,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,,998,VOTOS NULOS,,,1,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,,999,VOTOS EN BLANCO,,,2,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,946,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,118,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,,998,VOTOS NULOS,,,1,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,,999,VOTOS EN BLANCO,,,1,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,3092,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,899,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,,998,VOTOS NULOS,,,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,,999,VOTOS EN BLANCO,,,2,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,195,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,82,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,,998,VOTOS NULOS,,,2,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,,999,VOTOS EN BLANCO,,,4,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,1246,1
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,18480001,2,JARAMILLO,GIRALDO,JOSE,70,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,19669999,3,GOYENECHE,,GABRIEL ANTONIO,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,,998,VOTOS NULOS,,,1,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,,999,VOTOS EN BLANCO,,,0,0
119660000,1966,Presidencia,Mayo 1,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Nacional,18480001,1,LLERAS,RESTREPO,CARLOS,1279,1
