id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto82,coddpto,departamento82,departamento,codmpio82,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,106698,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,3174,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,19829999,3,PORRAS,,FLORENTINO,8,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,19790001,4,GALAN,,LUIS CARLOS,29164,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,161531,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,,998,VOTOS NULOS,,,648,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,,999,VOTOS EN BLANCO,,,482,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,2305,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,19790001,4,GALAN,,LUIS CARLOS,32,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,3368,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,,998,VOTOS NULOS,,,1,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Nacional,,999,VOTOS EN BLANCO,,,5,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,141,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,19790001,4,GALAN,,LUIS CARLOS,3,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,673,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,1,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,350,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,19790001,4,GALAN,,LUIS CARLOS,1,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,1057,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,,998,VOTOS NULOS,,,1,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Nacional,,999,VOTOS EN BLANCO,,,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,3780,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,2,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,19790001,4,GALAN,,LUIS CARLOS,9,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,2799,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,,998,VOTOS NULOS,,,5,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Nacional,,999,VOTOS EN BLANCO,,,5,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,2966,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,19790001,4,GALAN,,LUIS CARLOS,16,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,1892,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,,998,VOTOS NULOS,,,3,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Nacional,,999,VOTOS EN BLANCO,,,3,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,18480001,1,LOPEZ,MICHELSEN,ALFONSO,6328,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,19800001,2,MOLINA,RAMIREZ,GERARDO,1,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,19829999,3,PORRAS,,FLORENTINO,0,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,19790001,4,GALAN,,LUIS CARLOS,277,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,19829998,5,BETANCUR,CUARTAS,BELISARIO,5265,1
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,,998,VOTOS NULOS,,,4,0
119820001,1982,Presidencia,Mayo 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,,999,VOTOS EN BLANCO,,,6,0
