"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
5001,207642,698505,1052,12808,59245,979252,490863,0.713304644769681,0.212041435708071,0.50126320906161
5002,547,6572,36,68,174,7397,6025,0.888468297958632,0.0739488982019738,0.814519399756658
5004,43,975,10,1,27,1056,932,0.923295454545455,0.040719696969697,0.882575757575758
5021,216,2018,11,14,84,2343,1802,0.861288945795988,0.0921895006402049,0.769099445155783
5030,1706,8192,26,222,609,10755,6486,0.761692236169224,0.15862389586239,0.603068340306834
5031,760,5162,23,92,357,6394,4402,0.807319361901783,0.118861432593056,0.688457929308727
5034,2020,14161,28,184,503,16896,12141,0.838127367424242,0.119554924242424,0.718572443181818
5036,268,2384,10,26,89,2777,2116,0.858480374504861,0.0965070219661505,0.761973352538711
5038,276,2810,25,86,143,3340,2534,0.841317365269461,0.0826347305389222,0.758682634730539
5040,826,2217,24,38,220,3325,1391,0.666766917293233,0.248421052631579,0.418345864661654
5042,1770,7737,56,203,511,10277,5967,0.752846161331128,0.172229249781065,0.580616911550063
5044,201,2609,11,23,74,2918,2408,0.894105551747772,0.068882796435915,0.825222755311857
5045,21476,19443,85,585,1929,43518,-2033,0.446780642492762,0.493496943793373,-0.0467163013006112
5051,4117,6755,32,101,167,11172,2638,0.604636591478697,0.368510562119585,0.236126029359112
5055,134,3124,7,15,54,3334,2990,0.937012597480504,0.0401919616076785,0.896820635872825
5059,215,1739,9,37,68,2068,1524,0.840909090909091,0.103965183752418,0.736943907156673
5079,4371,14540,67,524,1219,20721,10169,0.701703585734279,0.210945417692196,0.490758168042083
5086,222,1904,11,32,100,2269,1682,0.839136183340679,0.0978404583516968,0.741295724988982
5088,41733,123720,216,3143,11100,179912,81987,0.68766952732447,0.231963404331006,0.455706122993463
5091,287,3161,12,22,68,3550,2874,0.890422535211268,0.0808450704225352,0.809577464788732
5093,295,5984,23,59,123,6484,5689,0.922887106724244,0.0454966070326959,0.877390499691548
5101,1161,10044,27,93,338,11663,8883,0.861184943839492,0.0995455714653177,0.761639372374175
5107,603,1360,32,62,156,2213,757,0.61455038409399,0.272480795300497,0.342069588793493
5113,518,2211,24,57,120,2930,1693,0.754607508532423,0.17679180887372,0.577815699658703
5120,2462,2853,23,71,144,5553,391,0.513776337115073,0.443363947415811,0.0704123896992617
5125,325,2659,13,34,94,3125,2334,0.85088,0.104,0.74688
5129,8582,24691,70,1147,2924,37414,16109,0.65994012936334,0.229379376703908,0.430560752659432
5134,252,1581,9,23,69,1934,1329,0.817476732161324,0.130299896587384,0.68717683557394
5138,521,6434,23,92,192,7262,5913,0.885981823189204,0.0717433213990636,0.81423850179014
5142,298,1448,4,21,83,1854,1150,0.78101402373247,0.160733549083064,0.620280474649407
5145,352,1947,7,33,93,2432,1595,0.800575657894737,0.144736842105263,0.655838815789474
5147,8472,8810,44,279,708,18313,338,0.481079014907443,0.462622180964342,0.0184568339431005
5148,5351,17321,65,439,1280,24456,11970,0.708251553810926,0.218801112201505,0.489450441609421
5150,239,1515,2,39,107,1902,1276,0.796529968454259,0.125657202944269,0.67087276550999
5154,12072,16146,73,574,1073,29938,4074,0.53931458347251,0.403233348921104,0.136081234551406
5172,9241,9157,59,339,757,19553,-84,0.468316882319849,0.472612898276479,-0.00429601595663065
5190,764,3881,24,96,274,5039,3117,0.770192498511609,0.151617384401667,0.618575114109942
5197,628,6949,19,54,164,7814,6321,0.889301254159201,0.0803685692347069,0.808932684924495
5206,168,2074,9,17,61,2329,1906,0.89051094890511,0.0721339630742808,0.818376985830829
5209,501,6110,27,50,205,6893,5609,0.886406499347164,0.0726824314521979,0.813724067894966
5212,9435,23846,58,766,2468,36573,14411,0.65201104640035,0.257977196292347,0.394033850108003
5234,1672,4581,39,124,205,6621,2909,0.691889442682374,0.252529829330917,0.439359613351458
5237,898,7705,16,99,380,9098,6807,0.846889426247527,0.0987030116509123,0.748186414596615
5240,478,4599,20,69,174,5340,4121,0.86123595505618,0.0895131086142322,0.771722846441948
5250,3811,7823,31,199,448,12312,4012,0.635396361273554,0.309535412605588,0.325860948667966
5264,540,3704,12,49,292,4597,3164,0.805742875788558,0.117467913856863,0.688274961931695
5266,25879,109479,114,1648,8716,145836,83600,0.750699415782111,0.17745275514962,0.573246660632491
5282,1375,6000,29,147,392,7943,4625,0.755382097444291,0.173108397330983,0.582273700113307
5284,1410,4280,40,140,269,6139,2870,0.697181951457892,0.229679100830754,0.467502850627138
5306,533,1752,7,36,111,2439,1219,0.718327183271833,0.218532185321853,0.49979499794998
5308,6628,16322,60,732,1910,25652,9694,0.636285669733354,0.258381412755341,0.377904256978013
