"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","North_6","South_7","West_8","East_9","EjeCafe_6t9","Caribe_6t9","CSur_6t9","Pacif_6t9","COrient_6t9","Llano_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"05001","Antioquia","Valle del aburra","Medellín",0.0184291806071997,55082.3011800846,141680.080332056,12.8,264.339019775391,1,0,0,0,1,0,0,0,0,0,15908,0,34012,633,0,4719602,3974,180058,0.00084202015339429,0.0381510983341392,374830624.764,374830.624764,12.5912924083285,0,0.750631604530805,0.00337062320085465,0,0.00720653987348933,0.000134121478887415,0
"05002","Antioquia","Oriente","Abejorral",0.62321400642395,231.172055488958,141680.080332056,40.6,209.005447387695,1,0,0,0,1,0,0,0,0,0,6,0,49,5,0,35146,4,342,0.000113810959995448,0.00973083707961077,507134114.2,507134.1142,0.0693031665902471,16.0830841064453,0.907259699878329,0.000170716439993171,0,0.00139418425994423,0.000142263699994309,0
"05004","Antioquia","Occidente","Abriaquí",0.694248616695404,28.5626624310007,141680.080332056,34.8,326.940795898438,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4282,0,106,0,0.0247547874824848,296955980.068,296955.980068,0.0144196456290237,49.6290283203125,0.941287878787879,0,0,0.000233535730966838,0,0
"05021","Antioquia","Oriente","Alejandría",0.466394662857056,52.3343388966653,141680.080332056,31.9,241.82600402832,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0.08,7652,0,84,0,0.010977522216414,128932153.154,128932.153154,0.0593490437630422,15.529275894165,0.884549722577892,0,0,0.00143753267119707,0,6.20481377554022e-05
"05030","Antioquia","Suroeste","Amagá",0.530750632286072,492.098703724694,141680.080332056,22.9,247.85627746582,1,0,0,0,1,0,0,0,0,0,44,0,91,5,0,53374,18,426,0.000337242852325102,0.00798141417169408,84132476.9108,84132.4769108,0.634404239121462,24.3216953277588,0.801534170153417,0.000824371416794694,0,0.00170494997564357,9.36785700903061e-05,0
"05031","Antioquia","Nordeste","Amalfi",0.441183269023895,742.754064566922,141680.080332056,43.3,299.728210449219,1,0,0,0,1,0,0,0,0,0,162,0,100,8,0,40282,4,444,9.9299935455042e-05,0.0110222928355097,1209126871.45,1209126.87145,0.0333149489529526,39.8738288879395,0.844228964654363,0.0040216473859292,0,0.00248249838637605,0.000198599870910084,0
"05034","Antioquia","Suroeste","Andes",0.531997501850128,680.244917824149,141680.080332056,40.1,239.198257446289,1,0,0,0,1,0,0,0,0,0,86,0,106,43,0,74054,466,1238,0.00629270532314257,0.0167175304507522,402502562.407,402502.562407,0.183983921884002,44.3896369934082,0.859286221590909,0.00116131471628811,0,0.00143138790612256,0.000580657358144057,0
"05036","Antioquia","Suroeste","Angelópolis",0.623349547386169,82.1868969421382,141680.080332056,30.7,257.582244873047,1,0,0,0,1,0,0,0,0,0,0,0,20,4,0,10026,6,80,0.000598444045481747,0.00797925393975663,81876301.6246,81876.3016246,0.122453015110146,19.2576770782471,0.880986676269355,0,0,0.00199481348493916,0.000398962696987832,0
"05038","Antioquia","Norte","Angostura",0.770219445228577,133.490575961038,141680.080332056,53.8,301.724731445312,1,0,0,0,1,0,0,0,0,0,29,0,21,4,0,21000,0,162,0,0.00771428571428571,338666482.075,338666.482075,0.0620079078134145,19.5800914764404,0.87934131736527,0.00138095238095238,0,0.001,0.00019047619047619,0
"05040","Antioquia","Nordeste","Anorí",0.583319664001465,159.435439778839,141680.080332056,53.3,329.563659667969,1,0,0,0,1,0,0,0,0,0,58,0,38,26,117.4992,28954,334,978,0.0115355391310354,0.0337777163777026,1413773904.26,1413773.90426,0.0204799366523568,41.3265037536621,0.709172932330827,0.00200317745389238,0,0.00131242660772259,0.000897976100020722,0.00831103188748569
