"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","n_6t9","s_6t9","e_6t9","w_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","nAllRds_13","lAllRds_13","lRds_13","lMjRds_13","nAR_13pkm","lAR_13pkm","lRds_13pkm","lMjRds_13pkm","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"05001","Antioquia","Valle del aburra","Medellín",0.0184291806071997,55082.3011800846,141680.080332056,12.8,264.339019775391,0.248090285531009,0,0,0.292187446594998,15908,0,34012,633,0,4719602,3974,180058,0.00084202015339429,0.0381510983341392,374830624.764,374830.624764,12.5912924083285,0,33285,4049678.10788098,3930100.17134042,33285,0.0888001081047122,10.8040214441676,10.4850028564632,0.0888001081047122,0.750631604530805,0.00337062320085465,0,0.00720653987348933,0.000134121478887415,0
"05002","Antioquia","Oriente","Abejorral",0.62321400642395,231.172055488958,141680.080332056,40.6,209.005447387695,0.20027513193858,0,0,0.272245147843377,6,0,49,5,0,35146,4,342,0.000113810959995448,0.00973083707961077,507134114.2,507134.1142,0.0693031665902471,16.0830841064453,629,645982.394840041,562519.729898749,629,0.00124030307247668,1.27379006213982,1.10921295599709,0.00124030307247668,0.907259699878329,0.000170716439993171,0,0.00139418425994423,0.000142263699994309,0
"05004","Antioquia","Occidente","Abriaquí",0.694248616695404,28.5626624310007,141680.080332056,34.8,326.940795898438,0.287068222216068,0,0,0.347076528062372,0,0,1,0,0,4282,0,106,0,0.0247547874824848,296955980.068,296955.980068,0.0144196456290237,49.6290283203125,85,105785.207391569,93652.8245844392,85,0.000286237710991831,0.356231948477162,0.315376119258462,0.000286237710991831,0.941287878787879,0,0,0.000233535730966838,0,0
"05021","Antioquia","Oriente","Alejandría",0.466394662857056,52.3343388966653,141680.080332056,31.9,241.82600402832,0.259462357469516,0,0,0.232041415619368,0,0,11,0,0.08,7652,0,84,0,0.010977522216414,128932153.154,128932.153154,0.0593490437630422,15.529275894165,114,102435.0367926,100803.397480587,114,0.000884185963014481,0.794487909235865,0.781832886635999,0.000884185963014481,0.884549722577892,0,0,0.00143753267119707,0,6.20481377554022e-05
"05030","Antioquia","Suroeste","Amagá",0.530750632286072,492.098703724694,141680.080332056,22.9,247.85627746582,0.224421097301823,0,0,0.303394405392926,44,0,91,5,0,53374,18,426,0.000337242852325102,0.00798141417169408,84132476.9108,84132.4769108,0.634404239121462,24.3216953277588,698,284831.876998919,284218.560067765,698,0.00829643944442575,3.38551636011985,3.37822646502019,0.00829643944442575,0.801534170153417,0.000824371416794694,0,0.00170494997564357,9.36785700903061e-05,0
"05031","Antioquia","Nordeste","Amalfi",0.441183269023895,742.754064566922,141680.080332056,43.3,299.728210449219,0.323964445293958,0,0,0.219403055183104,162,0,100,8,0,40282,4,444,9.9299935455042e-05,0.0110222928355097,1209126871.45,1209126.87145,0.0333149489529526,39.8738288879395,279,405661.160544005,401217.996838144,279,0.000230745016579956,0.335499251668712,0.331824563916108,0.000230745016579956,0.844228964654363,0.0040216473859292,0,0.00248249838637605,0.000198599870910084,0
"05034","Antioquia","Suroeste","Andes",0.531997501850128,680.244917824149,141680.080332056,40.1,239.198257446289,0.181335436034398,0,0,0.328425249426022,86,0,106,43,0,74054,466,1238,0.00629270532314257,0.0167175304507522,402502562.407,402502.562407,0.183983921884002,44.3896369934082,955,546130.077985255,544274.276634951,955,0.00237265570258489,1.35683627631921,1.3522256190871,0.00237265570258489,0.859286221590909,0.00116131471628811,0,0.00143138790612256,0.000580657358144057,0
"05036","Antioquia","Suroeste","Angelópolis",0.623349547386169,82.1868969421382,141680.080332056,30.7,257.582244873047,0.233745599859196,0,0,0.304312781714589,0,0,20,4,0,10026,6,80,0.000598444045481747,0.00797925393975663,81876301.6246,81876.3016246,0.122453015110146,19.2576770782471,167,124479.848098696,123753.759229645,167,0.00203966223054003,1.52034038700761,1.51147226699432,0.00203966223054003,0.880986676269355,0,0,0.00199481348493916,0.000398962696987832,0
"05038","Antioquia","Norte","Angostura",0.770219445228577,133.490575961038,141680.080332056,53.8,301.724731445312,0.311713085470985,0,0,0.26298142416069,29,0,21,4,0,21000,0,162,0,0.00771428571428571,338666482.075,338666.482075,0.0620079078134145,19.5800914764404,225,293524.680223013,287046.443223254,225,0.000664370440858013,0.866707205344312,0.847578542359812,0.000664370440858013,0.87934131736527,0.00138095238095238,0,0.001,0.00019047619047619,0
"05040","Antioquia","Nordeste","Anorí",0.583319664001465,159.435439778839,141680.080332056,53.3,329.563659667969,0.346648981637454,0,0,0.234109235503772,58,0,38,26,117.4992,28954,334,978,0.0115355391310354,0.0337777163777026,1413773904.26,1413773.90426,0.0204799366523568,41.3265037536621,187,284498.916032551,274216.852660552,187,0.000132270088899314,0.201233673344299,0.193960895610167,0.000132270088899314,0.709172932330827,0.00200317745389238,0,0.00131242660772259,0.000897976100020722,0.00831103188748569
"05042","Antioquia","Occidente","Santafé de Antioquia",0.375057339668274,318.931851915784,141680.080332056,29.7,306.244720458984,0.277390844694984,0,0,0.326076375435021,87,0,111,11,0,45932,46,1766,0.00100148044935992,0.0384481407297744,525601374.545,525601.374545,0.0873894213837667,42.0737800598145,670,415747.712252718,390231.373541854,670,0.00127473030408264,0.790994339793385,0.742447399190436,0.00127473030408264,0.790308455775032,0.00189410432813725,0,0.00241661586693373,0.000239484455281721,0
