"variable","missing_count","missing_pct","missing_years","missing_type","imputation_method"
"year",0,0,NA,"No Missingness","None"
"PobTot_12",0,0,NA,"No Missingness","None"
"AREAkm",0,0,NA,"No Missingness","None"
"altura",3387,12.58,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Acueducto",11123,41.31,"2000, 2001, 2002, 2003, 2004, 2006, 2007, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Alcantarillado",11123,41.31,"2000, 2001, 2002, 2003, 2004, 2006, 2007, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Aseo",11561,42.93,"2000, 2001, 2002, 2003, 2004, 2006, 2007, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Mortalidad",9327,34.64,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"MortInfantil1",10275,38.16,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"VaxPenta",9326,34.63,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"AdolMothers",9356,34.74,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"MortInfantil5",12501,46.42,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Pob5_16",14594,54.2,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"Enroll5_16",14703,54.6,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"NetCover",14699,54.59,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"GrossCover",14656,54.43,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"Dropout",14730,54.7,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"Grad",14613,54.27,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"Repeat",14731,54.71,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2022, 2023","Structural Gaps (e.g., Census Years)","Mixed-Effects Models / Bayesian"
"EdEst",4137,15.36,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Sessions",3467,12.88,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Admins",10215,37.93,"2000, 2001, 2002, 2003, 2004, 2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Teachers",3473,12.9,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"Students",3467,12.88,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"AvgS11",3874,14.39,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"AvgS11_Math",3874,14.39,"2021, 2022, 2023","Moderate Gaps (Possible MAR)","Multiple Imputation (PMM)"
"total_obs",0,0,NA,"No Missingness","None"
