"Criterion","Mean_EMEL","Mean_CSCW","Mean_sndem","Median_sndem","SD_sndem","P05_sndem","P95_sndem"
"prox_cap",0.0271,0.0243,0.0257,0.0262,0.0176,-0.0047,0.0549
"compete",0.0272,0.0208,0.024,0.0248,0.0296,-0.0267,0.0703
"urban",0.0132,0.0211,0.0172,0.0184,0.0293,-0.03,0.0621
"nonviolent",-0.013,-0.0124,-0.0127,-0.013,0.0226,-0.0476,0.023
"nonindig",-0.0179,-0.0066,-0.0122,-0.0096,0.0201,-0.0467,0.0164
"nonremote",-0.0097,-0.0123,-0.011,-0.0113,0.0164,-0.0385,0.0152
"pop_density",-0.0058,-0.0085,-0.0072,-0.007,0.0121,-0.0257,0.0114
"north",-0.0046,-0.0093,-0.007,-0.0058,0.0137,-0.0322,0.0128
"south",-0.0043,-0.0096,-0.0069,-0.0023,0.0113,-0.0305,0.0033
"econ_dev",0.003,0.008,0.0055,0.0033,0.0282,-0.0349,0.0469
"east",-0.0029,-0.0055,-0.0042,-0.002,0.0065,-0.0154,7e-04
"west",-0.0028,-0.0035,-0.0031,-0.0023,0.0073,-0.0179,0.0058
