Characteristic,LOO: Electoral Fairness,LOO: Civil Liberties,LOO: Overall SNVDEM,Mean Abs. Deviation from Full Index,Weighted Contribution to Overall Index
Rural/Urban,0.9304255972147245,0.9389737271760827,0.934178241502963,0.02748088240948937,0.460926259373129
Ruling Party Strength,0.9295678669203223,0.9553869314682536,0.941957974911675,0.03288675093377774,0.3515974787977539
Economic Development,0.9398274809768871,0.9448487954203325,0.942049001104502,0.022969302774782936,0.6383558882592784
Violence Index,0.9641877564856551,0.9496622935476774,0.9569857449044729,0.02255830359683771,0.18211820195988132
Indigenous Population,0.9378465529213965,0.9857722264596284,0.9642451611579896,0.017660675878229153,0.33121782735794325
Remoteness,0.9825540364309724,0.9750665650389687,0.9797019125662353,0.015231492607212177,0.5382396536862499
North,0.9918906401529658,0.9734301972640241,0.9855514447939048,0.011770529595253357,0.04639732562045633
Sparse Population,0.9927712154553543,0.9755846997893942,0.985942856837266,0.011814290218365851,0.5148337869660419
Distance from Capital,0.9854307234772244,0.9873033291261027,0.9866799054888664,0.02808280776941006,0.23123378813525436
South,0.9964390850541688,0.9850505280444314,0.9924609770637512,0.01092303704423806,0.4235893060748528
West,0.9982903949041096,0.9959583890794811,0.9974597772810553,0.004322970279031184,0.09899042274109612
East,0.9989860509468449,0.9957714274147046,0.9979066807927155,0.005431477391595691,0.03322523578021943
